row,sampled,bucket,path,kind,literal,context,classification,reason
1,yes,NO_POLICY_TERM,src/bin/stream_to_lake.rs,string,"""Contract validation: {} ({} venue, {} classes)""","""Contract validation: {} ({} venue, {} classes)"",",stream_to_lake_diagnostic_template,This prints the already computed contract validation report; all reported values come from the loaded contract and conversion report.
2,no,NO_POLICY_TERM,src/bin/stream_to_lake.rs,string,"""Converted {} live stream classes for instance {} into {}""","""Converted {} live stream classes for instance {} into {}"",",stream_to_lake_diagnostic_template,This prints the already computed lake conversion report; all reported values come from CLI inputs and conversion output.
3,yes,NO_POLICY_TERM,src/bin/stream_to_lake.rs,string,"""stream_to_lake""","#[command(name = ""stream_to_lake"")]",cli_command_name,"This is the stable Rust maintenance binary name, not an operator runtime value."
4,yes,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,""", """,".join("", "")",strategy_archetype_diagnostic_separator,This joins configured reference_data role names in a validation diagnostic; it is not a runtime operator value.
5,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,""" or """,".join("" or "")",strategy_archetype_diagnostic_separator,This joins provider-owned allowed time-in-force labels in a validation diagnostic; it is not a runtime operator value.
6,yes,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""binary_oracle_entry_order_unsupported_shape""","""binary_oracle_entry_order_unsupported_shape"";",strategy_archetype_validation_error_code,Stable machine-readable validation code for unsupported binary-oracle entry order shapes; it identifies the diagnostic class and does not configure trading behavior.
7,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""binary_oracle_entry_order_reduce_only""","""binary_oracle_entry_order_reduce_only"";",strategy_archetype_validation_error_code,Stable machine-readable validation code for reduce-only binary-oracle entry order rejection; it identifies the diagnostic class and does not configure trading behavior.
8,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""binary_oracle_entry_order_market_quote_quantity""","""binary_oracle_entry_order_market_quote_quantity"";",strategy_archetype_validation_error_code,Stable machine-readable validation code for market quote-quantity binary-oracle entry order rejection; it identifies the diagnostic class and does not configure trading behavior.
9,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""binary_oracle_entry_order_quote_quantity""","""binary_oracle_entry_order_quote_quantity"";",strategy_archetype_validation_error_code,Stable machine-readable validation code for quote-quantity binary-oracle entry order rejection; it identifies the diagnostic class and does not configure trading behavior.
10,yes,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""blocked_after_seconds""","""blocked_after_seconds"",",strategy_runtime_schema_field,"This is a taker strategy config schema field name, populated from the configured bolt-v3 TOML target blocked threshold."
11,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""book_impact_cap_bps""","""book_impact_cap_bps"",",strategy_runtime_schema_field,This is an existing taker strategy config schema field name; the value comes from bolt-v3 TOML.
12,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""cadence_seconds""","""cadence_seconds"",",strategy_runtime_schema_field,This is an existing taker strategy config schema field name; the value comes from bolt-v3 TOML.
13,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""cadence_slug_token""","insert_string(&mut table, ""cadence_slug_token"", target.cadence_slug_token);",strategy_runtime_schema_field,"This is a taker strategy config schema field name, populated from the configured bolt-v3 TOML target cadence slug token."
14,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""client_id""","""client_id"",",strategy_runtime_schema_field,"This is an existing taker strategy config schema field name, populated from bolt-v3 TOML."
15,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""configured_target_id""","""configured_target_id"",",strategy_runtime_schema_field,"This is a taker strategy config schema field name, populated from the configured bolt-v3 TOML target."
16,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""edge_threshold_basis_points""","""edge_threshold_basis_points"",",strategy_runtime_schema_field,This is an existing taker strategy config schema field name; the value comes from bolt-v3 TOML.
17,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""entry_order""","""entry_order"",",strategy_runtime_schema_field,"This is the nested strategy runtime config table name, populated from bolt-v3 TOML [parameters.entry_order]."
18,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""exit_hysteresis_bps""","""exit_hysteresis_bps"",",strategy_runtime_schema_field,This is an existing taker strategy config schema field name; the value comes from bolt-v3 TOML.
19,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""exit_order""","""exit_order"",",strategy_runtime_schema_field,"This is the nested strategy runtime config table name, populated from bolt-v3 TOML [parameters.exit_order]."
20,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""expire_time_unix_nanos""","""expire_time_unix_nanos"",",strategy_runtime_schema_field,This is the NT order expiry timestamp field projected from TOML into the runtime strategy config.
21,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""trigger_price""","insert_float(&mut order_table, ""trigger_price"", trigger_price);",strategy_runtime_schema_field,This is the NT stop-order trigger price field projected from TOML into the runtime strategy config.
22,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""activation_price""","insert_float(&mut order_table, ""activation_price"", activation_price);",strategy_runtime_schema_field,This is the NT trailing-stop activation price field projected from TOML into the runtime strategy config.
23,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""trigger_type""","""trigger_type"",",strategy_runtime_schema_field,This is the NT triggered-order trigger type field projected from TOML into the runtime strategy config.
24,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""trigger_instrument_id""","""trigger_instrument_id"",",strategy_runtime_schema_field,This is the NT triggered-order trigger instrument field projected from TOML into the runtime strategy config.
25,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""trailing_offset""","insert_float(&mut order_table, ""trailing_offset"", trailing_offset);",strategy_runtime_schema_field,This is the NT trailing-stop offset field projected from TOML into the runtime strategy config.
26,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""trailing_offset_type""","""trailing_offset_type"",",strategy_runtime_schema_field,This is the NT trailing-stop offset type field projected from TOML into the runtime strategy config.
27,yes,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_order_execution.rs,string,"""bolt-v3 in-place modify is fail-closed in Live (not admission-gated; see #835): refusing un-admitted venue mutation for client_order_id={client_order_id}""","""bolt-v3 in-place modify is fail-closed in Live (not admission-gated; see #835): refusing un-admitted venue mutation for client_order_id={client_order_id}""",order_execution_live_modify_fail_closed_diagnostic,"Fail-loud diagnostic refusing a live in-place venue modify that does not pass submit admission/reservation/fee checks (Option A for #835); error-message template, not a runtime value."
28,yes,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_order_intent.rs,number,0,&& order.expire_time_unix_nanos.is_none_or(|value| value == 0),nt_order_model_invariant,This enforces positive GTD expiry nanos for enabled NT order templates before calling the NT order factory; the expiry value itself is TOML-owned.
29,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""external_order_claims""","""external_order_claims"",",strategy_runtime_schema_field,This is a Nautilus StrategyConfig field name projected from bolt-v3 TOML into the runtime strategy config.
30,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""forced_flat_stale_reference_ms""","""forced_flat_stale_reference_ms"",",strategy_runtime_schema_field,This is an existing taker strategy config schema field name; the value comes from bolt-v3 TOML.
31,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""forced_flat_thin_book_min_liquidity""","""forced_flat_thin_book_min_liquidity"",",strategy_runtime_schema_field,This is an existing taker strategy config schema field name; the value comes from bolt-v3 TOML.
32,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""is_post_only""","insert_bool(&mut order_table, ""is_post_only"", order.is_post_only);",strategy_runtime_schema_field,"This is a nested existing taker strategy config schema field name, populated from bolt-v3 TOML order parameters."
33,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""is_quote_quantity""","""is_quote_quantity"",",strategy_runtime_schema_field,"This is a nested existing taker strategy config schema field name, populated from bolt-v3 TOML order parameters."
34,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""is_reduce_only""","insert_bool(&mut order_table, ""is_reduce_only"", order.is_reduce_only);",strategy_runtime_schema_field,"This is a nested existing taker strategy config schema field name, populated from bolt-v3 TOML order parameters."
35,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""lead_agreement_min_corr""","""lead_agreement_min_corr"",",strategy_runtime_schema_field,This is an existing taker strategy config schema field name; the value comes from bolt-v3 TOML.
36,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""lead_jitter_max_ms""","""lead_jitter_max_ms"",",strategy_runtime_schema_field,This is an existing taker strategy config schema field name; the value comes from bolt-v3 TOML.
37,no,POLICY_TERM_CONFIG_OR_STRUCTURAL,src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,string,"""log_commands""","insert_bool(&mut table, ""log_commands"", strategy.config.log_commands);",strategy_runtime_schema_field,This is a Nautilus StrategyConfig field name projected from bolt-v3 TOML into the runtime strategy config.
